inks and their lengths in km
**************************START OF FILE**************************
*******************START OF NODE**************************
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
*******************START OF LINK**************************
1,2
1,6
2,1
2,3
2,4
2,5
3,2
3,11
4,2
4,8
4,11
5,2
5,6
5,8
6,1
6,5
6,7
7,6
7,8
7,12
8,4
8,5
8,7
8,9
9,8
9,10
9,12
9,14
10,9
10,11
10,16
11,3
11,4
11,10
12,7
12,9
12,13
13,12
13,14
14,9
14,13
14,15
15,14
15,16
16,10
16,15
**************************END OF FILE**************************
