links and their lengths in km
**************************START OF FILE**************************
*******************START OF NODE**************************
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
*******************START OF LINK**************************
1,2,800
1,6,1000
2,1,800
2,3,1100
2,6,950
3,2,1100
3,4,250
3,5,1000
3,7,1000
4,3,250
4,5,800
4,7,850
5,3,1000
5,4,800
5,8,1200
6,1,1000
6,2,950
6,7,1000
6,9,1200
6,11,1900
7,3,1000
7,4,850
7,6,1000
7,8,1150
7,9,1000
8,5,1200
8,7,1150
8,10,900
9,6,1200
9,7,1000
9,10,1000
9,11,1400
9,12,1000
10,8,900
10,9,1000
10,13,950
10,14,850
11,6,1900
11,9,1400
11,12,900
11,15,1300
11,19,2800
12,9,1000
12,11,900
12,13,900
12,16,1000
13,10,950
13,12,900
13,14,650
13,17,1100
14,10,850
14,13,650
14,18,1200
15,11,1300
15,16,800
15,20,1300
16,12,1000
16,15,800
16,17,1000
16,21,1000
16,22,800
17,13,1100
17,16,1000
17,18,800
17,22,850
17,23,1000
18,14,1200
18,17,800
18,24,900
19,11,2800
19,20,1200
20,15,1300
20,19,1200
20,21,700
21,16,1000
21,20,700
21,22,300
22,16,800
22,17,850
22,21,300
22,23,600
23,17,1000
23,22,600
23,24,900
24,18,900
24,23,900
**************************END OF FILE**************************
