inks and their lengths in km
**************************START OF FILE**************************
*******************START OF NODE**************************
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
*******************START OF LINK**************************
1,2
1,3
1,4
1,5
2,1
2,3
3,1
3,2
3,4
4,1
4,3
4,5
4,6
4,9
5,1
5,4
5,6
6,4
6,5
6,7
6,13
7,6
7,8
7,12
8,7
8,9
8,12
9,4
9,8
9,10
10,9
10,11
10,16
11,10
11,12
11,14
12,7
12,8
12,11
12,13
13,6
13,12
13,14
13,15
14,11
14,13
14,15
15,13
15,14
15,16
16,10
16,15
16,17
16,18
17,16
17,20
18,16
18,19
18,20
19,15
19,18
19,21
20,17
20,18
20,21
20,22
21,19
21,20
21,22
21,23
22,20
22,21
22,23
23,21
23,22
**************************END OF FILE**************************
