inks and their lengths in km
**************************START OF FILE**************************
*******************START OF NODE**************************
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
*******************START OF LINK**************************
1,2
1,3
1,4
1,5
2,1
2,3
3,1
3,2
3,4
4,1
4,3
4,5
4,6
4,7
5,1
5,4
5,6
6,4
6,5
6,9
6,10
7,4
7,8
7,9
8,7
8,9
8,12
9,6
9,7
9,8
9,10
10,6
10,9
10,11
11,10
11,12
11,15
12,8
12,11
12,13
12,14
13,12
13,16
14,12
14,15
14,16
15,11
15,14
15,17
16,13
16,14
16,17
16,18
17,15
17,16
17,18
17,19
18,16
18,17
18,19
19,17
19,18
**************************END OF FILE**************************
