15	15	15
0	5	94.94274614411319
0	6	97.70837335884359
0	7	107.84746899496825
1	2	106.00433251230271
1	4	104.16027353890509
1	5	106.00433251230271
2	4	97.70837335884359
2	7	94.02117790278042
3	4	91.25573518619646
3	5	83.88152877221656
5	12	84.80328151169576
6	9	89.41213745816489
6	13	101.39556881490677
7	8	100.47307808284191
7	14	104.16027353890509
8	9	97.70837335884359
8	11	82.95977603273734
8	14	88.4903847186857
9	11	103.2387052975723
10	12	97.70837335884359
10	13	93.09960966144766
12	13	90.33398244671729
