0,29
0,46
0,48
1,34
1,47
1,49
2,8
2,31
2,37
3,11
3,20
3,32
3,43
4,5
4,22
4,35
4,44
5,4
5,21
5,22
5,25
5,32
6,7
6,22
6,38
7,6
7,15
8,2
8,11
8,13
9,16
9,23
9,33
10,14
10,25
10,35
10,44
11,3
11,8
11,13
11,31
12,14
12,29
13,8
13,11
13,25
13,31
13,49
14,10
14,12
14,48
15,7
15,27
16,9
16,18
16,19
16,28
17,24
17,30
18,16
18,19
18,25
18,49
19,16
19,18
19,25
19,44
20,3
20,43
21,5
21,22
21,27
21,43
22,4
22,5
22,6
22,21
22,39
23,9
23,24
23,28
23,42
24,17
24,23
24,33
24,42
24,45
25,5
25,10
25,13
25,18
25,19
26,30
26,34
27,15
27,21
27,43
28,16
28,23
28,29
28,44
28,46
29,0
29,12
29,28
30,17
30,26
30,45
31,2
31,11
31,13
31,32
32,3
32,5
32,31
32,43
33,9
33,24
34,1
34,26
34,37
34,40
34,41
35,4
35,10
35,39
36,38
36,48
37,2
37,34
37,41
37,49
38,6
38,36
38,39
38,48
39,22
39,35
39,38
40,34
40,41
41,34
41,37
41,40
42,23
42,24
42,46
43,3
43,20
43,21
43,27
43,32
44,4
44,10
44,19
44,28
45,24
45,30
45,47
45,49
46,0
46,28
46,42
47,1
47,45
48,0
48,14
48,36
48,38
49,1
49,13
49,18
49,37
